First Name,Last Name,Network Provider,Total Data (GB),Age,Upstream Data (MB),Downstream Data (MB),App Name,Timestamp,City,State,Country,Zip code
Larry,Morales,Verizon,4.456446,33,85.93,474.0,Twitter,2023-09-01 19:25:55,Garciamouth,South Carolina,New Caledonia,80169
Laurie,Hall,Verizon,9.325434,83,53.94,191.51,Twitter,2024-05-05 09:34:55,New Jenniferbury,Utah,Greece,84999
Jason,Howard,AT&T,5.936186,80,53.32,412.06,WhatsApp,2023-09-07 06:36:04,Williamsburgh,Mississippi,Turkey,77810
Jeffrey,Walker,T-Mobile,6.257321,84,3.26,240.31,Facebook,2023-07-17 06:13:14,East Jonathanburgh,Louisiana,Equatorial Guinea,13361
Robert,Wilkinson,AT&T,6.459249,51,39.89,150.63,WhatsApp,2023-12-21 10:37:49,Anitaton,Colorado,Ukraine,1223
Sarah,Diaz,Sprint,7.761879,34,85.66,444.33,Facebook,2023-07-06 09:32:56,Justinstad,Pennsylvania,Syrian Arab Republic,59084
Rick,Farley,Verizon,9.834133,47,99.75,17.69,YouTube,2024-01-25 04:03:25,Bakerfort,Texas,Timor-Leste,69306
Tiffany,Hensley,AT&T,4.485247,40,14.65,272.95,YouTube,2023-10-17 02:24:48,Port Jose,Montana,Andorra,8459
Kimberly,Jackson,AT&T,7.545041,64,66.1,330.08,WhatsApp,2023-07-11 10:55:57,Craighaven,Illinois,Saint Vincent and the Grenadines,37459
Harry,Hoffman,Verizon,7.740339,97,32.04,114.57,YouTube,2023-08-29 08:58:06,New William,Kansas,Finland,43735
Ryan,Archer,Sprint,6.389196,58,77.48,303.34,Instagram,2024-03-26 02:09:18,West Amandamouth,Wyoming,Palau,54352
Mary,Green,T-Mobile,6.530053,19,44.51,80.71,YouTube,2023-06-26 10:18:44,Lopezton,Kansas,Switzerland,21624
Michelle,Kelly,Verizon,9.444034,88,29.97,432.32,Instagram,2023-09-14 22:17:39,Port Julia,New Mexico,Poland,56770
Katherine,Roth,AT&T,4.498266,61,10.2,361.35,Instagram,2024-01-28 04:57:27,Caitlinfurt,Arizona,Isle of Man,3532
Latasha,Santos,Verizon,9.419044,72,4.82,145.6,Facebook,2023-12-09 12:29:56,South Katherineland,Indiana,India,95059
Rebecca,Smith,Sprint,6.366974,98,29.39,248.96,WhatsApp,2024-02-13 22:23:55,Port Lisa,North Dakota,Japan,25050
Caleb,Bush,Sprint,9.047841,33,13.87,36.19,YouTube,2024-02-24 08:27:28,Peckberg,South Dakota,Chile,83135
Jodi,Sanchez,AT&T,2.56655,83,23.47,461.06,Snapchat,2023-09-30 13:17:27,Michelleview,South Dakota,Paraguay,87822
Brandy,Nguyen,Verizon,5.715032,95,69.66,166.69,Twitter,2023-09-15 02:12:05,West Jamietown,Tennessee,French Polynesia,84526
Mary,Williamson,T-Mobile,9.835737,84,93.2,6.45,Snapchat,2024-03-17 00:52:21,Davidchester,Montana,Tunisia,27716
Jim,Mcdowell,T-Mobile,5.408164,45,49.83,418.09,TikTok,2024-02-03 23:48:42,Stephanieland,Louisiana,Algeria,29734
Sandy,Best,T-Mobile,5.036349,56,26.49,495.25,Twitter,2023-09-23 00:10:33,Gregoryton,Washington,Saudi Arabia,65076
Katie,Clay,AT&T,4.43259,65,14.09,108.11,Facebook,2023-10-30 22:28:53,Lake Natalieborough,Indiana,Western Sahara,61479
Dennis,Lewis,Verizon,1.870262,83,12.34,225.0,Snapchat,2023-11-20 05:04:02,South Masonland,Mississippi,Sweden,72578
Sydney,Smith,AT&T,3.269617,49,17.14,107.0,YouTube,2024-03-27 00:18:17,Acostachester,Maine,Romania,63949
Christine,White,Verizon,3.299242,59,76.84,25.65,Twitter,2024-05-12 10:58:19,West Bryan,Colorado,Heard Island and McDonald Islands,17997
Anna,Baker,Sprint,2.49117,37,9.04,120.21,Twitter,2023-07-15 12:50:13,West Mike,Nevada,Timor-Leste,78316
David,Weaver,AT&T,6.121146,76,1.69,240.16,Twitter,2023-11-13 13:05:21,Dawnfort,Oklahoma,Bahrain,86844
Gwendolyn,Bennett,T-Mobile,8.541289,34,54.08,396.08,Twitter,2024-03-13 11:37:08,Youngchester,Ohio,Vanuatu,86215
Ryan,Sandoval,T-Mobile,8.721312,41,10.06,132.84,Snapchat,2024-02-26 20:13:14,Lake Royburgh,Connecticut,Philippines,62741
Trevor,Hanson,T-Mobile,3.866468,78,19.72,71.4,WhatsApp,2024-04-15 20:35:42,Ashleytown,New Mexico,Saint Vincent and the Grenadines,61392
Jacob,Johnson,T-Mobile,5.035041,79,68.82,39.92,YouTube,2023-06-28 17:26:52,Markville,Louisiana,Cyprus,37396
Alyssa,Smith,T-Mobile,9.474842,62,44.21,1.04,Snapchat,2023-11-30 00:12:36,Emilyshire,New Hampshire,Yemen,70926
Billy,Patterson,T-Mobile,8.962639,50,61.31,420.58,Facebook,2023-06-13 02:48:20,Pricestad,Alaska,Mali,47757
David,Hunt,Sprint,3.060781,77,37.28,233.04,Facebook,2024-04-01 22:56:57,Port Adam,Montana,Kenya,25833
Daniel,Rodriguez,AT&T,7.904604,46,65.25,448.96,Instagram,2024-03-13 21:07:43,Terrellhaven,Maryland,Antarctica (the territory South of 60 deg S),10204
Sergio,Ray,T-Mobile,9.453273,79,22.72,407.2,YouTube,2023-06-28 19:19:10,Laurastad,Maine,Nicaragua,65218
Allison,Reynolds,Verizon,4.437306,45,98.63,469.33,Snapchat,2023-07-08 15:39:51,New Lee,Nebraska,Guatemala,58184
Amanda,Harris,AT&T,8.619723,40,40.67,247.28,Facebook,2024-05-19 05:08:06,Christinehaven,Alabama,Marshall Islands,35089
William,Larson,AT&T,6.632321,90,8.98,31.32,Snapchat,2023-10-04 04:37:27,East Amber,Virginia,Guyana,12633
Jackie,Le,AT&T,3.056982,76,66.53,181.45,TikTok,2024-04-08 21:36:37,Victoriamouth,North Carolina,Angola,65523
Nicole,Ryan,Verizon,6.023015,28,78.73,2.82,Instagram,2023-10-25 22:41:20,Johnsonhaven,Maryland,Samoa,50465
Richard,Barajas,T-Mobile,7.727928,24,96.59,423.48,Instagram,2024-02-29 04:19:03,Port Alicia,Wyoming,Poland,84781
Christina,Brooks,Verizon,2.421397,68,8.17,75.55,Instagram,2023-08-11 05:12:37,North Anna,Wyoming,Nicaragua,47919
Brian,Perez,T-Mobile,7.292507,89,40.24,444.46,Facebook,2023-12-12 05:49:02,Seanberg,Wyoming,Honduras,47542
Sierra,Alvarez,Verizon,7.850216,24,47.61,32.55,TikTok,2023-12-09 05:20:34,Sylviamouth,Kansas,Montserrat,62581
Carol,Brown,Verizon,5.516413,29,2.17,66.32,Snapchat,2023-08-26 09:00:16,South Stevenstad,Louisiana,North Macedonia,57321
Brian,Cox,Sprint,2.157453,44,97.01,121.52,Twitter,2023-08-02 15:54:43,West Calvin,Nevada,Papua New Guinea,11234
Paula,Harrington,Sprint,6.766032,22,72.99,142.66,WhatsApp,2023-12-16 00:20:02,East Amandastad,Michigan,Samoa,93620
Dakota,Murillo,T-Mobile,6.854373,81,13.85,453.82,WhatsApp,2023-10-24 21:34:40,North Jamie,Wyoming,Cote d'Ivoire,23030
Paul,Valencia,Sprint,0.944026,26,17.54,338.03,Facebook,2023-11-08 15:19:13,Tylermouth,Wisconsin,Wallis and Futuna,34418
Elizabeth,Bright,T-Mobile,3.061153,87,89.81,430.75,WhatsApp,2023-11-20 05:44:00,North Kelseymouth,Rhode Island,Argentina,40893
Rebecca,Salinas,Sprint,5.894124,77,19.12,460.05,WhatsApp,2024-02-11 20:56:53,Ericamouth,Connecticut,Tanzania,44276
Andrew,Marquez,AT&T,0.577447,59,54.13,68.19,Snapchat,2023-07-20 01:04:34,Scottview,Rhode Island,Turks and Caicos Islands,95960
Tracy,Brown,AT&T,3.48207,29,78.21,316.13,TikTok,2023-06-22 20:09:25,Port Michelleview,California,Singapore,27895
Jonathan,Moss,Sprint,1.398788,69,78.95,74.6,Snapchat,2024-03-27 02:51:46,Lake Roberttown,Texas,Canada,76430
William,Foster,Verizon,1.611789,62,73.06,352.71,Facebook,2023-12-12 17:49:29,South Jeremy,Florida,Andorra,2608
Vicki,Berry,AT&T,8.526513,83,56.11,57.37,Facebook,2024-05-18 11:36:50,Weisston,Michigan,Nepal,41882
David,Rosales,Sprint,8.903514,36,6.52,331.14,TikTok,2023-08-31 16:52:20,West Juliefurt,Indiana,Kuwait,40659
Wesley,Parker,AT&T,4.032348,90,10.55,105.36,YouTube,2023-09-30 21:14:29,North Christopherville,South Dakota,United States of America,89516
Mark,Matthews,AT&T,2.490506,49,98.11,453.12,Facebook,2024-05-23 07:38:33,Sandramouth,Pennsylvania,Trinidad and Tobago,4693
Kelly,Boone,AT&T,5.189084,90,31.99,276.24,TikTok,2024-01-24 03:55:50,Warrenchester,Nevada,Solomon Islands,80630
Luke,Stewart,Verizon,5.681594,35,32.25,134.33,Facebook,2023-11-23 18:36:10,Michaelshire,Tennessee,Nigeria,85387
Bobby,Buck,AT&T,2.49755,18,5.98,308.59,YouTube,2023-12-15 19:29:19,West Daniel,Rhode Island,Chile,93102
Amanda,Gilbert,AT&T,3.168547,43,9.6,382.22,TikTok,2023-10-12 19:59:38,East Laurie,New York,Egypt,15213
Beth,Brown,AT&T,2.970057,26,51.17,337.78,YouTube,2024-02-21 21:10:24,New Jessicahaven,New Mexico,Brunei Darussalam,11399
Gina,Lara,Verizon,3.218783,67,98.16,403.13,Facebook,2023-06-14 22:26:33,South Erica,Georgia,Estonia,50346
Jose,Moore,AT&T,0.874081,81,79.94,76.08,YouTube,2023-12-28 20:58:06,North Angieview,Michigan,Mayotte,28585
James,Gray,Verizon,2.037732,33,90.85,259.71,WhatsApp,2023-11-24 11:23:31,Michelleview,Missouri,Tonga,31562
Melissa,Wilson,T-Mobile,5.090172,46,6.71,497.62,Twitter,2023-12-17 13:49:37,Saratown,Alabama,Puerto Rico,21817
Anna,Thompson,Sprint,8.61745,52,84.96,173.51,TikTok,2023-10-27 02:17:27,Matthewborough,Maryland,Gabon,25385
Lawrence,Williams,AT&T,4.347055,73,67.47,447.57,Facebook,2024-04-15 23:42:03,Turnerfurt,North Dakota,Mayotte,20882
Joseph,Gutierrez,AT&T,3.139031,34,13.94,37.25,Facebook,2024-04-14 19:26:45,Flowersland,Idaho,Guam,539
Ian,Jones,Sprint,0.803764,31,85.07,481.99,Instagram,2023-10-28 09:49:43,Port Kelli,Virginia,Central African Republic,48446
Anthony,Mcclain,Verizon,1.394352,37,63.91,347.5,Facebook,2024-03-30 18:33:53,Chloefurt,Arkansas,Congo,19682
Lisa,Ingram,Verizon,5.456071,65,2.43,50.69,Instagram,2023-11-23 19:03:05,West Ray,Delaware,Brunei Darussalam,67926
Rebecca,Pugh,Verizon,3.302909,76,97.15,71.95,YouTube,2023-12-30 01:42:44,Bradleyville,Massachusetts,Bahrain,31561
Katrina,Morris,Verizon,3.490235,23,7.58,208.32,WhatsApp,2023-12-12 00:52:32,Moralesport,Oregon,Haiti,20915
Ashley,Shaw,Sprint,6.521901,62,1.76,58.33,YouTube,2023-08-07 10:23:17,Mcgeeland,Colorado,Taiwan,52060
David,Ford,AT&T,1.121044,54,7.36,17.08,TikTok,2024-04-28 03:49:52,West Julia,Nevada,British Virgin Islands,71158
Jennifer,Miller,Verizon,3.04829,73,30.13,143.6,TikTok,2024-05-23 13:58:18,South Curtis,North Dakota,Tuvalu,33999
Christopher,Diaz,T-Mobile,3.741562,30,19.95,242.09,Instagram,2024-01-21 07:01:46,Elizabethstad,New Hampshire,Senegal,79485
Jennifer,Wilcox,T-Mobile,6.845531,88,63.45,50.09,Facebook,2023-06-08 11:45:19,Bryanview,Georgia,Guinea-Bissau,22063
Stephanie,Anderson,Sprint,7.131621,92,4.56,161.07,Instagram,2023-08-05 02:13:10,Lake Courtneytown,Alaska,Libyan Arab Jamahiriya,72470
Karen,Cain,Sprint,5.763874,57,73.61,391.12,Instagram,2024-02-09 23:35:11,Port Charles,Kansas,Antigua and Barbuda,20106
Nicholas,Rosario,T-Mobile,1.022272,86,77.49,385.05,YouTube,2023-07-19 13:45:44,Edwardsfort,Alaska,Mali,48572
Kathleen,Wheeler,AT&T,2.50303,80,66.8,246.63,Snapchat,2024-03-14 06:32:21,Taylorburgh,North Dakota,Sri Lanka,37794
Andrew,Rodriguez,AT&T,3.293962,79,36.99,197.67,Facebook,2023-10-24 17:30:27,Lauraton,Arkansas,Cape Verde,14524
Amy,Montgomery,Sprint,2.510577,27,23.38,22.47,Twitter,2023-09-15 22:18:54,Port Lynnbury,Wyoming,Croatia,34503
Gregory,Kerr,T-Mobile,1.165931,27,85.37,282.88,Instagram,2024-02-11 06:54:12,Robertmouth,New Jersey,Malawi,60928
Jennifer,Mann,AT&T,3.96434,100,93.59,342.44,YouTube,2023-10-20 16:08:32,New Erik,Wisconsin,Aruba,52742
Tiffany,Hodge,AT&T,4.51231,25,53.12,416.71,Snapchat,2024-03-09 13:42:35,East Davidton,Minnesota,Bouvet Island (Bouvetoya),29150
Gregory,Tanner,T-Mobile,6.48915,42,77.66,406.74,YouTube,2024-05-23 09:03:21,Lake Michelle,Kentucky,Iceland,40534
April,Gardner,Verizon,1.957631,75,46.64,221.35,Twitter,2024-04-29 06:03:01,Lynnstad,New York,Tunisia,7376
Kimberly,Walker,Sprint,9.163555,28,25.18,216.64,Twitter,2023-11-26 17:27:26,Patrickbury,Iowa,Singapore,43216
Amy,Munoz,Verizon,8.027204,49,43.47,254.14,TikTok,2024-01-31 12:33:48,North Kimberlystad,Oregon,Lithuania,26636
Carly,Wiley,Sprint,9.278104,21,55.7,425.51,Facebook,2023-12-05 03:48:33,Port Joshuaport,Kansas,Guinea,81222
Lindsay,Washington,Verizon,3.931014,75,37.28,388.91,Facebook,2023-07-17 01:05:08,West Heather,Georgia,Saint Helena,26643
Lauren,Garcia,Verizon,6.964669,60,37.1,77.94,Facebook,2024-02-01 21:09:37,Lake Peterview,Idaho,Bouvet Island (Bouvetoya),42348
Michael,Taylor,Sprint,7.333598,72,79.56,86.28,Facebook,2023-08-02 07:21:20,New Richardshire,West Virginia,Norway,64941
Tim,Phillips,Sprint,8.968928,60,92.02,150.75,YouTube,2023-07-18 04:17:51,Boyleport,Wisconsin,Turks and Caicos Islands,74208
Elaine,Davis,Sprint,6.661695,25,94.53,246.95,TikTok,2023-12-08 01:53:12,Howardshire,Nebraska,Christmas Island,91180
Ruth,Bowman,Sprint,7.300244,91,28.96,216.19,Twitter,2023-06-01 22:46:27,Carolineshire,North Carolina,Korea,8481
Gregory,Lee,T-Mobile,9.835087,58,99.24,206.26,Twitter,2024-04-14 00:18:21,South Danielhaven,Vermont,Indonesia,50710
Isaac,Lewis,Verizon,0.571468,56,31.24,300.79,Instagram,2023-06-28 18:24:21,New Tommy,Missouri,Burundi,59911
Taylor,Carlson,Sprint,2.747404,36,4.75,343.75,Instagram,2023-12-04 18:47:27,Sanderstown,North Carolina,Belgium,82106
Michael,Jones,Verizon,4.151496,26,66.84,19.66,Twitter,2023-12-15 01:29:32,Michaelville,Montana,Cyprus,94150
Chad,Thompson,Verizon,9.906607,35,84.59,418.22,Instagram,2024-03-19 16:09:41,Bondfort,New Jersey,Gibraltar,13613
William,Atkins,AT&T,2.313201,36,29.98,489.35,YouTube,2024-05-28 15:17:25,New Eddie,Texas,Sierra Leone,82797
Anthony,Peters,Sprint,9.390331,27,39.59,453.07,Instagram,2023-11-09 14:50:47,Port Rachel,Pennsylvania,Russian Federation,20282
Michael,Hughes,Sprint,1.335694,32,19.98,385.71,Snapchat,2024-03-25 01:03:57,Schneiderchester,Ohio,Georgia,4643
Samantha,Saunders,T-Mobile,6.132737,45,77.18,346.38,TikTok,2023-09-24 09:48:07,North Ianberg,New Mexico,Slovakia (Slovak Republic),22373
Adam,Bentley,Sprint,2.32726,22,24.01,400.46,WhatsApp,2023-08-13 00:58:28,New Pamela,Washington,Costa Rica,60829
Danny,Hernandez,T-Mobile,7.077773,55,22.31,105.44,Facebook,2024-02-25 07:18:12,Lake Chelsea,Delaware,Turkmenistan,33874
Tracey,Alvarado,Verizon,8.401785,93,28.81,95.15,Facebook,2023-12-02 10:37:47,West Joshua,Virginia,Luxembourg,38665
Robert,Delgado,AT&T,6.153415,22,53.3,350.29,Snapchat,2024-05-22 14:18:49,Johnport,Oklahoma,Greenland,15552
Heather,Burns,Sprint,4.30596,37,7.54,435.67,Facebook,2024-03-08 02:00:31,Lake Christine,Oklahoma,Niue,61165
Robert,Kelly,T-Mobile,9.990682,44,67.65,390.74,YouTube,2023-07-22 09:29:28,Port Richardland,Massachusetts,French Southern Territories,40522
Heather,Welch,AT&T,8.429113,18,77.77,3.03,TikTok,2023-08-25 02:32:01,Kimberlyport,South Carolina,Germany,7176
Vanessa,Sanders,Verizon,5.0111,23,95.65,231.27,Facebook,2024-02-15 17:43:57,North Frederick,Nebraska,Kuwait,92862
Randall,Macdonald,Sprint,8.048151,78,64.12,14.54,WhatsApp,2024-01-24 07:16:19,Huangstad,Alabama,French Guiana,71742
Natasha,Cobb,Sprint,6.840301,71,3.3,123.98,TikTok,2024-03-08 12:52:57,Howardburgh,Delaware,China,54311
Alicia,Simmons,T-Mobile,2.736955,55,1.35,166.97,Facebook,2023-07-27 06:22:28,North Charlotte,Louisiana,Lesotho,84951
David,Cooper,Sprint,0.778479,92,45.11,369.15,Snapchat,2023-07-04 12:45:43,Littleview,Nebraska,South Georgia and the South Sandwich Islands,6861
David,Gordon,T-Mobile,3.81548,54,87.25,296.17,Snapchat,2023-11-17 05:20:46,North Isaiahbury,Illinois,Niger,25048
Jessica,Kim,AT&T,1.309523,66,12.34,453.79,Snapchat,2024-05-21 20:53:57,Lake Marissa,Minnesota,Tajikistan,94242
Kristina,Green,AT&T,5.09961,73,3.42,114.02,Snapchat,2023-07-06 21:07:04,West Brandi,Louisiana,Mozambique,18792
Alice,Jenkins,Verizon,1.23025,34,8.81,417.58,TikTok,2024-01-25 06:21:08,West Yvonne,Tennessee,Sao Tome and Principe,73982
Alexander,Ruiz,T-Mobile,9.145047,25,2.98,42.87,Snapchat,2024-01-13 22:07:29,Rebeccaberg,Vermont,American Samoa,52092
Dennis,Martin,T-Mobile,3.668818,50,93.02,463.73,YouTube,2023-09-01 13:31:52,Port Charles,Wisconsin,Azerbaijan,35388
Tina,Olson,Sprint,6.013653,56,2.88,405.46,Instagram,2023-07-29 16:26:09,Port Thomasmouth,Illinois,United States of America,90486
Christopher,Young,T-Mobile,1.531736,42,84.11,11.03,WhatsApp,2023-12-25 19:38:55,Alexmouth,Nebraska,United States of America,89753
Susan,Owens,T-Mobile,4.641379,82,2.33,36.6,YouTube,2023-12-12 05:51:29,South Michelle,Florida,Bhutan,91683
Brandon,Davies,AT&T,5.769015,32,0.2,170.14,Facebook,2023-09-14 02:31:54,South Christopherburgh,Nebraska,Singapore,79154
Colin,Little,Sprint,9.270302,61,66.13,208.27,WhatsApp,2023-11-21 14:16:28,Johnsonburgh,Texas,Botswana,20265
Zachary,Johnson,T-Mobile,8.642664,77,15.01,368.15,TikTok,2024-01-22 13:28:52,Sarahton,South Carolina,Montenegro,53846
Julie,Clark,T-Mobile,1.419178,70,54.46,184.66,TikTok,2023-07-05 16:09:51,West Diane,Kansas,Tunisia,67675
Cynthia,Harris,T-Mobile,3.626681,20,37.5,444.6,Snapchat,2023-10-14 06:25:22,Johnchester,Virginia,Argentina,4261
Trevor,Hinton,T-Mobile,9.812206,89,78.12,409.48,YouTube,2024-02-06 04:30:48,Karenfurt,Texas,Burkina Faso,15423
Anthony,Johnson,Sprint,7.085801,39,0.64,260.86,YouTube,2023-09-11 19:08:15,Johnsonland,Massachusetts,Finland,52635
Henry,Green,AT&T,7.085442,84,9.9,411.26,WhatsApp,2023-09-02 03:15:50,Port Michaelburgh,Mississippi,Somalia,32993
Lisa,Perez,Sprint,1.343283,82,21.23,243.88,Snapchat,2024-01-26 15:12:27,North Michaelport,Indiana,Faroe Islands,87557
Alex,Henderson,AT&T,8.644756,71,42.05,182.31,Instagram,2023-07-03 14:04:31,Lake Marcus,North Carolina,Jersey,57375
John,Woods,T-Mobile,8.85274,60,6.74,475.2,Snapchat,2024-04-16 18:33:09,North Micheal,Delaware,Moldova,74054
Stephanie,Gilbert,AT&T,7.724687,37,93.02,422.51,TikTok,2023-10-12 15:07:44,Mcculloughside,Rhode Island,Nepal,64803
Jessica,Parker,Sprint,7.624995,60,97.03,392.82,TikTok,2023-07-05 19:20:14,New Brandonburgh,Massachusetts,Spain,1723
Aaron,Schmidt,T-Mobile,3.511867,55,73.86,219.0,Twitter,2024-01-30 13:35:17,East Audreyburgh,Maine,Turkey,24495
Timothy,Cervantes,Sprint,7.402353,22,7.89,87.94,WhatsApp,2023-09-04 22:33:33,Peterberg,Oregon,Mayotte,99713
Elizabeth,Brown,T-Mobile,5.399744,76,65.88,82.3,Snapchat,2024-03-23 11:52:03,Lake Jeremyville,Tennessee,Oman,63074
Charles,Tate,AT&T,1.129865,49,9.81,201.96,Snapchat,2023-09-08 00:46:47,Alexandershire,North Carolina,Dominica,79886
Heather,Hamilton,AT&T,4.783147,56,94.81,456.81,Twitter,2024-01-16 19:02:23,Kyliechester,Alaska,Philippines,58356
Eric,Taylor,T-Mobile,7.972134,63,13.24,316.42,Instagram,2024-03-27 13:30:49,Jamesbury,Iowa,Peru,13867
Daniel,Chandler,T-Mobile,1.311903,67,7.01,474.04,TikTok,2024-01-24 15:23:03,North Brianna,Oklahoma,Kazakhstan,95709
Randy,Campbell,Sprint,9.571452,76,55.88,13.98,WhatsApp,2023-07-15 04:28:20,Port Katie,Texas,French Guiana,4828
Christopher,Weaver,T-Mobile,4.325835,45,99.55,280.59,TikTok,2024-02-03 20:01:57,Port Alexander,New Mexico,Tokelau,21787
Cassidy,Patrick,Sprint,6.739842,86,9.43,95.5,Snapchat,2024-04-22 05:08:23,Toddton,Oregon,French Southern Territories,28947
Jennifer,Hall,Sprint,7.161824,98,80.67,320.05,WhatsApp,2024-04-29 11:54:16,North Christopher,Idaho,Canada,86238
Gary,Ellis,AT&T,6.704139,22,85.49,333.98,Facebook,2024-04-30 04:46:24,Cobbburgh,Vermont,Bangladesh,21893
Frances,Berger,T-Mobile,9.186941,20,37.99,95.8,Facebook,2023-06-20 21:47:02,New Thomas,Maine,Papua New Guinea,89919
Beth,Armstrong,Verizon,4.659975,88,89.45,193.33,Instagram,2024-02-20 12:30:28,Ronaldville,Arizona,Namibia,56358
Kathleen,Shepard,Verizon,4.552617,88,84.64,400.86,Instagram,2023-08-31 23:35:49,Lozanohaven,North Dakota,Ecuador,69731
Michael,Miller,Sprint,5.218979,62,70.55,191.37,Snapchat,2023-10-13 15:49:15,New Pamela,Hawaii,Rwanda,82794
Kimberly,Hernandez,Sprint,1.386029,41,76.31,33.74,Twitter,2024-01-06 10:41:37,Maureenside,Nebraska,Ecuador,65899
Shaun,Taylor,Sprint,5.775821,26,6.9,148.73,Twitter,2024-01-04 21:23:28,West Mary,Virginia,Bouvet Island (Bouvetoya),52693
April,Chavez,T-Mobile,0.628607,48,25.17,26.56,Facebook,2024-03-24 09:28:58,New Maria,Kentucky,Samoa,3698
Rebecca,Guzman,AT&T,3.360596,90,24.63,441.89,Facebook,2023-07-22 20:59:17,New Roberthaven,South Dakota,Czech Republic,53508
Kyle,Harvey,AT&T,9.942962,27,23.72,455.22,Twitter,2023-11-25 16:26:08,Jamesborough,New York,French Southern Territories,52511
Stephanie,Richardson,AT&T,8.775926,93,54.02,298.9,Twitter,2023-06-18 16:03:37,Port Janiceborough,North Dakota,Vanuatu,33011
Michelle,Davis,Verizon,3.313271,77,86.28,375.19,Snapchat,2024-04-29 05:01:53,Garciaport,Minnesota,Bahrain,19989
Jason,Jackson,T-Mobile,9.345847,38,80.82,75.69,Snapchat,2023-12-14 15:03:09,New Ashleyborough,South Dakota,Congo,12543
Tiffany,Smith,Sprint,4.28876,70,74.1,42.01,Snapchat,2024-01-23 16:20:43,North Craig,Illinois,Kiribati,30472
Bruce,White,Verizon,0.548389,43,45.08,30.53,TikTok,2024-05-19 20:08:57,Julieburgh,Vermont,Palau,28416
Susan,Walker,T-Mobile,2.260568,73,61.57,409.03,Instagram,2023-11-13 04:45:32,Samanthaton,Kentucky,Mayotte,72916
Alejandro,Chambers,AT&T,6.805019,69,19.85,95.1,Snapchat,2024-03-10 13:46:47,Turnerville,Louisiana,Senegal,60000
Mary,Paul,AT&T,2.602742,68,25.41,393.85,TikTok,2023-08-13 21:11:52,Lake Robertside,Kansas,Malaysia,91633
Jerome,Davis,AT&T,1.209062,64,12.2,21.85,TikTok,2024-05-09 01:38:57,Michaelbury,Illinois,Saint Pierre and Miquelon,17760
Briana,Mason,Verizon,6.416028,86,20.12,383.35,Twitter,2023-08-30 16:17:14,Smithstad,Oregon,Uruguay,46840
Patrick,Rojas,AT&T,9.455044,41,11.67,268.33,Snapchat,2024-03-17 07:15:20,Lake Garyfurt,Hawaii,Qatar,39752
Ricky,Reyes,Verizon,2.543809,26,10.2,481.07,YouTube,2023-07-20 22:48:44,Hughesfort,California,Djibouti,63298
Patrick,Evans,AT&T,8.985467,39,81.99,26.25,Facebook,2024-04-26 18:34:27,West Erika,Maryland,Maldives,23664
Denise,Carrillo,AT&T,7.110982,68,99.02,101.47,TikTok,2024-01-28 08:11:04,Bennettchester,New Mexico,Bolivia,17707
Lisa,Jones,Sprint,0.757965,27,87.81,32.39,Snapchat,2023-09-14 21:52:34,Phelpsbury,Georgia,Thailand,15485
Bruce,Fowler,T-Mobile,1.42869,20,28.95,175.13,Instagram,2023-07-05 23:45:58,Amandamouth,Tennessee,Romania,77856
David,Anderson,T-Mobile,0.639799,90,30.77,29.67,Twitter,2024-03-09 08:51:13,Amberstad,Texas,American Samoa,78107
Sydney,Lopez,Verizon,2.500671,21,74.48,30.27,WhatsApp,2023-09-18 22:08:49,Port Stephenside,Pennsylvania,Saint Helena,83765
Nancy,Rodriguez,Verizon,2.099682,48,16.45,488.33,Snapchat,2023-06-08 08:19:18,Lake Darren,Rhode Island,Sudan,11885
Chase,Sanders,Verizon,2.899224,86,26.96,231.4,Snapchat,2024-03-12 10:52:37,Lake Terri,Massachusetts,Cuba,27101
Ryan,Black,Sprint,8.031564,21,33.96,390.48,Snapchat,2024-01-20 08:57:57,East Stacy,New Jersey,Suriname,99266
Michael,Brown,Sprint,3.28547,69,80.37,204.22,Twitter,2023-12-18 05:23:02,Mooreville,New Jersey,Holy See (Vatican City State),61660
Jessica,Murphy,T-Mobile,9.659874,47,43.38,123.95,YouTube,2024-01-12 20:53:57,Banksport,California,Mali,25355
Joseph,Baker,AT&T,9.185788,40,1.02,214.02,YouTube,2024-04-29 11:54:58,Mccormickchester,New Hampshire,Iran,74684
Amber,Mckay,Sprint,1.488812,29,81.92,447.62,TikTok,2024-01-20 08:42:41,Port Robertstad,Michigan,Puerto Rico,50402
Jose,Church,T-Mobile,9.074543,93,27.74,167.98,Snapchat,2023-07-04 06:51:02,Port Juan,Delaware,Saint Pierre and Miquelon,91894
Heather,Valenzuela,Verizon,3.343955,54,93.58,156.59,WhatsApp,2023-06-29 23:26:34,Miguelfurt,Missouri,Taiwan,28110
Michael,Allison,AT&T,4.758711,75,48.61,378.58,Facebook,2023-12-13 23:20:43,Dyershire,New Jersey,Paraguay,63631
Miguel,Bond,T-Mobile,4.824767,69,40.91,417.96,Twitter,2023-11-20 09:57:30,South James,West Virginia,Iraq,95189
Tracy,Wilson,T-Mobile,1.408362,23,86.43,318.9,Facebook,2023-12-02 02:59:17,Port Patricia,Maine,Uzbekistan,93588
Jennifer,Stewart,AT&T,6.282381,23,29.15,261.55,Twitter,2023-10-07 09:32:15,New Andreaberg,New Hampshire,Tonga,58881
